GEOID,offset_h
31039,-6
53069,-6
35011,-6
31109,-6
31129,-6
46099,-6
48327,-7
06091,-8
21053,-6
39063,-6
48189,-7
01027,-6
48011,-7
39003,-6
13189,-5
55111,-6
05137,-6
41063,-8
42007,-6
28061,-6
29083,-6
08109,-7
37037,-5
49033,-6
40001,-6
39085,-6
51775,-6
51121,-5
47065,-6
35035,-7
35003,-6
01091,-6
56023,-6
29011,-6
48057,-6
51735,-6
54075,-6
48077,-6
51095,-6
31101,-6
31137,-6
22019,-6
22111,-6
40135,-6
01049,-6
36101,-6
42053,-6
22105,-6
51179,-6
26109,-6
18073,-6
13025,-6
13171,-6
18151,-6
48361,-6
39047,-6
25015,-5
21003,-6
37001,-6
20073,-6
25025,-5
16051,-6
48177,-6
47115,-6
26007,-6
21231,-6
47185,-6
48147,-6
20043,-6
48265,-6
12053,-6
12129,-6
12131,-6
28017,-6
02130,-10
26035,-6
20157,-6
12127,-6
40017,-6
13115,-6
32001,-6
31181,-6
17067,-6
46067,-6
41013,-6
50011,-6
26103,-6
09007,-6
37057,-6
17025,-6
29103,-6
29117,-6
42117,-6
31043,-6
26089,-6
51181,-6
48391,-6
39017,-6
13273,-6
13063,-6
56013,-6
18115,-6
13073,-6
08115,-6
30065,-6
42043,-6
46101,-6
54079,-6
34037,-6
20039,-6
18123,-6
28145,-6
31015,-6
27095,-6
38099,-6
39115,-6
39133,-6
56041,-6
32013,-6
48247,-6
08017,-6
41005,-6
05113,-6
13193,-6
18007,-6
47129,-6
46043,-6
24047,-6
17185,-6
18069,-6
21209,-6
19053,-6
18169,-6
18003,-6
18099,-6
31171,-6
38085,-6
48127,-6
27045,-6
45023,-6
27073,-6
49005,-6
55093,-6
13049,-6
13233,-6
17113,-6
23001,-6
16055,-6
32003,-8
20147,-6
31089,-6
29101,-6
55063,-6
22021,-6
21061,-6
17005,-6
17009,-6
27085,-6
55033,-6
08027,-6
29123,-6
48353,-6
42127,-6
36091,-6
48041,-6
40095,-6
24001,-6
54103,-6
55053,-6
41007,-6
53041,-6
36003,-6
19031,-6
18117,-6
13089,-6
13227,-6
30015,-6
31017,-6
47013,-6
37069,-6
24510,-6
20111,-6
19027,-6
22107,-6
47123,-6
20075,-6
19151,-6
16045,-6
05063,-6
05085,-6
18111,-6
13119,-6
12051,-6
13265,-6
48245,-6
30059,-6
08067,-6
48027,-6
28069,-6
05019,-6
41035,-6
36075,-6
01019,-6
48019,-6
30087,-6
35059,-6
26153,-6
36111,-6
34007,-5
17083,-6
51085,-6
20199,-6
26003,-6
05049,-6
48215,-6
37155,-6
26123,-6
41049,-6
27153,-6
05083,-6
37109,-6
05091,-6
12095,-5
08111,-6
16041,-6
13045,-6
20161,-6
48413,-6
51167,-6
37027,-6
16065,-6
18173,-6
21001,-6
21077,-6
21097,-6
23023,-6
30097,-6
48181,-6
42059,-6
02188,-10
20051,-6
01065,-6
01105,-6
01033,-6
20151,-6
21017,-6
47149,-6
13075,-6
20101,-6
40059,-6
17147,-6
48107,-6
01063,-6
16033,-6
19109,-6
38013,-6
37063,-5
19085,-6
31103,-6
19187,-6
17151,-6
47159,-6
51089,-6
51510,-6
19101,-6
30049,-6
49013,-6
40003,-6
48119,-6
47169,-6
21193,-6
46039,-6
41029,-6
48507,-6
31007,-6
19121,-6
12011,-6
13279,-6
26151,-6
48397,-6
26163,-6
27105,-6
27001,-6
38071,-6
37145,-6
20195,-6
28151,-6
48133,-6
28055,-6
48123,-6
48005,-6
45081,-6
29125,-6
05001,-6
29109,-6
51540,-6
17011,-6
39145,-6
37115,-6
16053,-6
39163,-6
48309,-6
16037,-6
19089,-6
12099,-6
13181,-6
01013,-6
47165,-6
51097,-6
05015,-6
51820,-6
02220,-10
41051,-6
47061,-6
27057,-6
38081,-6
36089,-6
29179,-6
06067,-6
39125,-6
18179,-6
51063,-6
06083,-8
54005,-6
28009,-6
21055,-6
19147,-6
19159,-6
37151,-6
24015,-6
18171,-6
31077,-6
31095,-6
31151,-6
21119,-6
19045,-6
27063,-6
27039,-6
27047,-6
06009,-6
25001,-6
51119,-6
42065,-6
18089,-6
47003,-6
47027,-6
17029,-6
47097,-6
41001,-6
36097,-6
26159,-6
17131,-6
21127,-6
21175,-6
21177,-6
17049,-6
47105,-6
46025,-6
15003,-11
12041,-6
18157,-6
42109,-6
48277,-6
12086,-6
31057,-6
48289,-6
08097,-6
38035,-6
18091,-6
18057,-6
51595,-6
40081,-6
20071,-6
13145,-6
13251,-6
48433,-6
39069,-6
33009,-6
29145,-6
18129,-6
48311,-6
17035,-6
13297,-6
27121,-6
51157,-6
51009,-6
06111,-6
17033,-6
08093,-6
06037,-6
04027,-6
13129,-6
19025,-6
12055,-6
51580,-6
50017,-6
20113,-6
04021,-6
39051,-6
08003,-6
12017,-6
47041,-6
42031,-6
46097,-6
46073,-6
18031,-6
18037,-6
51057,-6
45089,-6
36031,-6
19195,-6
40063,-6
51027,-6
51005,-6
28087,-6
18143,-6
08099,-6
48435,-6
40101,-6
29043,-6
28073,-6
18137,-6
38057,-6
13147,-6
22049,-6
51133,-6
48157,-6
55047,-6
30073,-6
55127,-6
32021,-6
17057,-6
36103,-6
18161,-6
29119,-6
31157,-6
35047,-6
01081,-6
48367,-6
38021,-6
38003,-6
27143,-6
13293,-6
06097,-6
26033,-6
16019,-6
13013,-6
13183,-6
48271,-6
40115,-6
42033,-6
26037,-6
17135,-6
28003,-6
28071,-6
22043,-6
29005,-6
17115,-6
26149,-6
17055,-6
30033,-6
31001,-6
27109,-6
34039,-6
01097,-6
46087,-6
01057,-6
01017,-6
37131,-6
08081,-6
21087,-6
18047,-6
37013,-6
38015,-6
37159,-6
26071,-6
27067,-6
21237,-6
48149,-6
46081,-6
23029,-5
48045,-6
26131,-6
28015,-6
41003,-6
27133,-6
42063,-6
