GEOID,offset_h
31039,-6
53069,-8
35011,-7
31109,-6
31129,-7
46099,-6
48327,-7
06091,-8
21053,-6
39063,-6
48189,-7
01027,-6
48011,-7
39003,-6
13189,-5
55111,-6
05137,-6
41063,-8
42007,-5
28061,-6
29083,-6
08109,-7
37037,-5
49033,-7
40001,-6
39085,-5
51775,-5
51121,-5
47065,-6
35035,-7
35003,-7
01091,-6
56023,-7
29011,-6
48057,-6
51735,-5
54075,-5
48077,-7
51095,-5
31101,-7
31137,-7
22019,-6
22111,-6
40135,-6
01049,-6
36101,-5
42053,-5
22105,-6
51179,-5
26109,-6
18073,-6
13025,-5
13171,-6
18151,-6
48361,-6
39047,-6
25015,-5
21003,-6
37001,-5
20073,-6
25025,-5
16051,-7
48177,-7
47115,-6
26007,-6
21231,-6
47185,-6
48147,-6
20043,-6
48265,-7
12053,-5
12129,-6
12131,-6
28017,-6
02130,-10
26035,-6
20157,-7
12127,-5
40017,-7
13115,-6
32001,-8
31181,-7
17067,-6
46067,-7
41013,-8
50011,-5
26103,-6
09007,-5
37057,-5
17025,-6
29103,-6
29117,-6
42117,-5
31043,-6
26089,-6
51181,-5
48391,-6
39017,-6
13273,-6
13063,-6
56013,-7
18115,-6
13073,-5
08115,-7
30065,-7
42043,-5
46101,-6
54079,-5
34037,-5
20039,-7
18123,-6
28145,-6
31015,-7
27095,-6
38099,-6
39115,-5
39133,-5
56041,-7
32013,-8
48247,-7
08017,-7
41005,-8
05113,-6
13193,-6
18007,-6
47129,-6
46043,-7
24047,-5
17185,-6
18069,-6
21209,-6
19053,-6
18169,-6
18003,-6
18099,-6
31171,-7
38085,-7
48127,-7
27045,-6
45023,-5
27073,-6
49005,-7
55093,-6
13049,-5
13233,-6
17113,-6
23001,-5
16055,-8
32003,-8
20147,-7
31089,-7
29101,-6
55063,-6
22021,-6
21061,-6
17005,-6
17009,-6
27085,-6
55033,-6
08027,-7
29123,-6
48353,-7
42127,-5
36091,-5
48041,-6
40095,-6
24001,-5
54103,-5
55053,-6
41007,-8
53041,-8
36003,-5
19031,-6
18117,-6
13089,-6
13227,-6
30015,-7
31017,-7
47013,-6
37069,-5
24510,-5
20111,-6
19027,-6
22107,-6
47123,-6
20075,-7
19151,-6
16045,-8
05063,-6
05085,-6
18111,-6
13119,-6
12051,-5
13265,-6
48245,-6
30059,-7
08067,-7
48027,-7
28069,-6
05019,-6
41035,-8
36075,-5
01019,-6
48019,-7
30087,-7
35059,-7
26153,-6
36111,-5
34007,-5
17083,-6
51085,-5
20199,-7
26003,-6
05049,-6
48215,-7
37155,-5
26123,-6
41049,-8
27153,-6
05083,-6
37109,-5
05091,-6
12095,-5
08111,-7
16041,-7
13045,-6
20161,-6
48413,-7
51167,-5
37027,-5
16065,-7
18173,-6
21001,-6
21077,-6
21097,-6
23023,-5
30097,-7
48181,-6
42059,-5
02188,-10
20051,-7
01065,-6
01105,-6
01033,-6
20151,-7
21017,-6
47149,-6
13075,-6
20101,-7
40059,-7
17147,-6
48107,-7
01063,-6
16033,-7
19109,-6
38013,-7
37063,-5
19085,-6
31103,-7
19187,-6
17151,-6
47159,-6
51089,-5
51510,-5
19101,-6
30049,-7
49013,-7
40003,-7
48119,-6
47169,-6
21193,-6
46039,-6
41029,-8
48507,-7
31007,-7
19121,-6
12011,-5
13279,-5
26151,-6
48397,-6
26163,-6
27105,-6
27001,-6
38071,-7
37145,-5
20195,-7
28151,-6
48133,-7
28055,-6
48123,-6
48005,-6
45081,-5
29125,-6
05001,-6
29109,-6
51540,-5
17011,-6
39145,-6
37115,-6
16053,-8
39163,-6
48309,-6
16037,-8
19089,-6
12099,-5
13181,-5
01013,-6
47165,-6
51097,-5
05015,-6
51820,-5
02220,-10
41051,-8
47061,-6
27057,-6
38081,-7
36089,-5
29179,-6
06067,-8
39125,-6
18179,-6
51063,-5
06083,-8
54005,-5
28009,-6
21055,-6
19147,-6
19159,-6
37151,-5
24015,-5
18171,-6
31077,-7
31095,-6
31151,-6
21119,-6
19045,-6
27063,-6
27039,-6
27047,-6
06009,-8
25001,-5
51119,-5
42065,-5
18089,-6
47003,-6
47027,-6
17029,-6
47097,-6
41001,-8
36097,-5
26159,-6
17131,-6
21127,-6
21175,-6
21177,-6
17049,-6
47105,-6
46025,-7
15003,-11
12041,-6
18157,-6
42109,-5
48277,-6
12086,-5
31057,-7
48289,-6
08097,-7
38035,-6
18091,-6
18057,-6
51595,-5
40081,-6
20071,-7
13145,-6
13251,-5
48433,-7
39069,-6
33009,-5
29145,-6
18129,-6
48311,-7
17035,-6
13297,-6
27121,-6
51157,-5
51009,-5
06111,-8
17033,-6
08093,-7
06037,-8
04027,-7
13129,-6
19025,-6
12055,-5
51580,-5
50017,-5
20113,-7
04021,-7
39051,-6
08003,-7
12017,-5
47041,-6
42031,-5
46097,-7
46073,-7
18031,-6
18037,-6
51057,-5
45089,-5
36031,-5
19195,-6
40063,-6
51027,-5
51005,-5
28087,-6
18143,-6
08099,-7
48435,-7
40101,-6
29043,-6
28073,-6
18137,-6
38057,-7
13147,-6
22049,-6
51133,-5
48157,-6
55047,-6
30073,-7
55127,-6
32021,-8
17057,-6
36103,-5
18161,-6
29119,-6
31157,-7
35047,-7
01081,-6
48367,-7
38021,-7
38003,-7
27143,-6
13293,-6
06097,-8
26033,-6
16019,-7
13013,-6
13183,-5
48271,-7
40115,-6
42033,-5
26037,-6
17135,-6
28003,-6
28071,-6
22043,-6
29005,-6
17115,-6
26149,-6
17055,-6
30033,-7
31001,-7
27109,-6
34039,-5
01097,-6
46087,-6
01057,-6
01017,-6
37131,-5
08081,-7
21087,-6
18047,-6
37013,-5
38015,-7
37159,-5
26071,-6
27067,-6
21237,-6
48149,-6
46081,-7
23029,-5
48045,-7
26131,-6
28015,-6
41003,-8
27133,-6
42063,-5
22061,-6
42099,-5
46137,-7
48203,-6
26013,-6
40131,-6
29019,-6
40015,-7
08059,-7
54011,-5
48383,-7
05141,-6
08117,-7
20035,-6
05071,-6
36041,-5
51045,-5
48083,-7
02290,-10
04017,-7
28085,-6
48357,-7
48103,-7
56003,-7
47081,-6
28143,-6
29081,-6
18005,-6
13223,-6
39015,-6
47141,-6
38101,-7
25027,-5
39091,-6
06031,-8
06073,-8
13079,-6
29037,-6
36027,-5
48477,-6
08101,-7
29067,-6
38009,-7
37051,-5
56017,-7
26001,-6
06061,-8
05129,-6
48305,-7
36077,-5
37153,-5
37093,-5
31131,-6
42023,-5
45035,-5
27161,-6
46015,-7
47177,-6
17023,-6
21201,-6
47095,-6
45015,-5
05051,-6
20139,-6
39155,-5
48333,-7
48359,-7
42019,-5
16049,-8
